package,object,role,type
meta,amlodipine,Amlodipine for Work Capacity,data
meta,cisapride,Cisapride in Non-Ulcer Dispepsia,data
meta,Fleiss93,Aspirin after Myocardial Infarction,data
meta,Fleiss93cont,Mental Health Treatment,data
meta,Olkin95,Thrombolytic Therapy after Acute Myocardial Infarction,data
meta,smoking,Smoking example,data
meta,woodyplants,Elevated CO_2 and total biomass of woody plants,data
meta,as.data.frame.meta,Additional functions for objects of class meta,function
meta,baujat,Baujat plot to explore heterogeneity in meta-analysis,function
meta,bubble,Bubble plot to display the result of a meta-regression,function
meta,ci,Calculation of confidence intervals (based on normal...,function
meta,forest,Forest plot to display the result of a meta-analysis,function
meta,funnel,Plot to assess funnel plot asymmetry,function
meta,gs,Get default for a meta-analysis setting.,function
meta,labbe,L'Abbe plot for meta-analysis with binary outcomes,function
meta,metabias,Test for funnel plot asymmetry,function
meta,metabin,Meta-analysis of binary outcome data,function
meta,metabind,Combine meta-analysis objects,function
meta,metacont,Meta-analysis of continuous outcome data,function
meta,metacor,Meta-analysis of correlations,function
meta,metacr,Meta-analysis of outcome data from Cochrane review,function
meta,metacum,Cumulative meta-analysis,function
meta,metagen,Generic inverse variance meta-analysis,function
meta,metainc,Meta-analysis of incidence rates,function
meta,metainf,Influence analysis in meta-analysis using leave-one-out...,function
meta,metamean,Meta-analysis of single means,function
meta,meta-package,meta: Brief overview of methods and general hints,function
meta,metaprop,Meta-analysis of single proportions,function
meta,metarate,Meta-analysis of single incidence rates,function
meta,metareg,Meta-regression,function
meta,print.meta,Print and summary method for objects of class meta,function
meta,print.rm5,Print and summary methods for objects of class rm5,function
meta,read.mtv,Import RevMan 4 data files (.mtv),function
meta,read.rm5,Import RevMan 5 data files (.csv),function
meta,settings.meta,Print and change default settings to conduct and print or...,function
meta,trimfill,Trim-and-fill method to adjust for bias in meta-analysis,function
meta,update.meta,Update a meta-analysis object,function
meta,weights.meta,Calculate absolute and percentage weights for meta-analysis,function
metafor,dat.bangertdrowns2004,Studies on the Effectiveness of Writing-to-Learn...,data
metafor,dat.begg1989,Studies on Bone-Marrow Transplantation versus Chemotherapy...,data
metafor,dat.berkey1998,Studies on Treatments for Periodontal Disease,data
metafor,dat.bonett2010,Studies on the Reliability of the CES-D Scale,data
